AALO
ACCT
AERO
AERS
AFST
AGCJ
AGEC
AGLS
AGSC
AGSM
ALEC
ALED
ANSC
ANTH
ARAB
ARCH
AREN
ARTS
ASCC
ASIA
ASTR
ATMO
ATTR
BAEN
BEFB
BESC
BICH
BIMS
BIOL
BMEN
BOTN
BUSN
CARC
CEHD
CHEM
CHEN
CHIN
CLAS
CLEN
COMM
COSC
CSCE
CVEN
CYBR
DASC
DCED
DDHS
DIVE
ECEN
ECHE
ECMT
ECON
EDCI
EHRD
ENDG
ENDS
ENGL
ENGR
ENST
ENTC
ENTO
EPFB
EPSY
ESET
ESSM
EURO
EVEN
FILM
FINC
FIVS
FREN
FRSC
FSCI
FSTC
FYEX
GALV
GENE
GEOG
GEOL
GEOP
GEOS
GERM
HBRW
HEFB
HHUM
HISP
HIST
HLTH
HORT
HUMA
IBUS
IDIS
INST
INTS
ISEN
ISTM
ITAL
ITDE
JAPN
JOUR
KINE
KNFB
LAND
LBAR
LDEV
LING
LMAS
MARA
MARB
MARE
MARR
MARS
MART
MASC
MASE
MAST
MATH
MEEN
MEFB
MEPS
METR
MGMT
MICR
MKTG
MLSC
MMET
MODL
MSEN
MTDE
MUSC
MUST
MXET
NAUT
NRSC
NUEN
NURS
NUTR
NVSC
OCEN
OCNG
PERF
PETE
PHIL
PHLT
PHYS
PLPA
POLS
PORT
POSC
PSYC
RDNG
RELS
RENR
RLEM
RPTS
RUSS
RWFM
SCEN
SCMT
SCSC
SEFB
SENG
SOCI
SOMS
SPAN
SPED
SPMT
STAT
TCMG
TEED
TEFB
UGST
URPN
VIBS
VIST
VLCS
VSCS
VTPB
VTPP
WFSC
WGST
ZOOL
Unassigned
RAND
